,Name,Price,Discount,Amount,Category ID,Item ID,Shop ID
122,Túi Đựng Giày Dép Dây Rút Bamozo Tiện Dụng Bỏ Vali Du Lịch,7.000,-30%,"17,9k",100015,19917151843,81330814
123,Schwarz ETIENNE Túi Đựng Mỹ Phẩm Cầm Tay Bằng PVC Trong Suốt Chống Nước Sức Chứa Lớn Phong Cách Hàn Quốc Cho Nam Và Nữ,20.000,-67%,"17,1k",100015,19878863911,947058492
124,ALP XW 5U Siêu Nhẹ 100% Full Sợi Carbon Cầu Lông Có Dây Dòng Huyền Thoại Thiết Kế Ban Đầu Vợt Chuyên Nghiệp Siêu Nhẹ Dành Cho Người Mới Bắt Đầu Unisex ALPSPORT Badminton Racket,399.900,-50%,114,100637,23263599673,727709621
125,Bọc vali kingsun Size 20/24 XT611,39.000,-41%,720,100015,4883915837,182303571
126,"Giày Đá Bóng Wika Ultra 5 Chính Hãng Bóng Đá Sân Cỏ Nhân Tạo Da Nhăn Cao Cấp , Hàng Chính Hãng",169.000,-32%,"6,7k",100637,22450155360,1044997296
127,"Vợt cầu lông Kumpoo chính hãng LightPink 4U 100% carbon căng sẵn 10.5kg tặng kèm cước, quấn cán và túi đựng vợt",850.000,-29%,260,100637,25053944730,1052500269
128,Mồi câu cá giả tokushima hình ếch nhảy mini 2.5cm / 3g mềm mại 8 màu có móc kép,10.000,-44%,"3,5k",100637,23209704899,176744484
129,Găng tay OSSAYI hở ngón chống nắng nhẹ thoáng khí cho nam nữ,48.000,-35%,"1,3k",100637,19532892526,121735012
130,Khăn ống Musion bịt mặt chống bụi/chống tia UV thấm hút mồ hôi đa năng khi đi xe máy/đi phượt,9.900,-45%,"40,6k",100637,7810233312,204226803
131,Sougayilang Cuộn Dây Câu Cá 100m Bằng nylon 4 Màu,15.166,-26%,171,100637,25852446436,198966016
132,Dụng cụ tập cơ bụng Welike Đồ dùng thể thao tại nhà đa năng có đế hút chân không trụ chữ T gập bụng giảm eo béo nam nữ,66.000,-41%,765,100637,22848674876,869729579
133,"Giày chạy bộ nam thể thao PEAK Feather Lite EW2207H - Giày chạy bộ nam siêu nhẹ, thoáng khí",449.000,-59%,"3,8k",100637,5613717380,90494790
134,Deukio Gạch Tập yoga / Nhảy Múa Chất Lượng Cao Dành Cho Người Lớn Và Trẻ Em,24.000,-50%,"4,1k",100637,22544871193,984694229
135,Bộ vợt tennis NURGAZ đàn hồi luyện tập chuyển động ngoài trời cho người mới bắt đầu,110.000,-33%,"3,1k",100637,22938841647,881311390
136,"Giày Đá Bóng Wika 3 Sọc Da Nhăn Chính Hãng Đã Khâu Toàn Bộ Đế , Hàng Chính Hãng",139.000,-23%,"9,4k",100637,19891463410,1044997296
137,Quần Giữ Nhiệt Nam Combat Pro Cao Cấp Allsport - QNGNN01,49.000,-47%,"1,6k",100637,24253872810,1006047753
138,Dây kháng lực tập gym Welike - Bộ dây band kháng lực tập chân mông tay kéo xà boxing tại nhà cao su đàn hồi thể lực,15.000,-50%,"1,3k",100637,23748734856,869729579
139,Bộ 3 cây phi tiêu cờ anh / cờ mỹ Sportslink,24.000,-51%,"2,4k",100637,11882629938,30337953
140,BOOCEAN Túi Đựng Hộp Cơm Trưa Bằng Nỉ Sức Chứa Lớn In Họa Tiết Hoạt Hình Dễ Thương Tiện Dụng Mang Theo Du Lịch Cho Học Sinh,29.500,-36%,69,100015,25509809865,1120562912
141,Dây Kháng Lực Tập Toàn Thân Bendu KL6306,9.000,-87%,"5,1k",100637,9090881847,141945728
142,Lebi Bộ Quần Áo Mưa Bảo Vệ Toàn Thân Màu Phản Quang Dành Cho Người Lớn Đi Mưa poncho,121.000,-45%,"1,7k",100637,16697667250,984695670
143,"Bịt mắt 2 mặt nóng lạnh dành cho 2 mùa Ema - Dây đeo thoải mái, không đau tai",39.000,-50%,"2,2k",100015,22446272549,292822630
144,[Sỉ Siêu Rẻ 3.xk] Chai Lọ Chiết Nước Hoa HUY HA COSMETIC PACKAGING Thủy Tinh 3ml 5ml 10ml 20ml 30ml Đựng Dầu Thơm,3.026,-20%,"110,9k",100015,2537239935,40333812
145,Dây miniband Aolikes kháng lực tập gym chân mông tay đùi cao su đàn hồi nam nữ,5.000,-89%,34k,100637,10226160777,485373807
146,Vali Bamozo Khung Nhôm 9066 Size 20/24/28 Cao Cấp Bịt 4 Góc Chống Va Đập Bảo Hành 5 Năm,549.000,-59%,"6,1k",100015,20507810066,81330814
147,Skybaits 1 cái 9g / 11g câu cá nhảy ếch lure mồi cứng mồi với mồi móc sắc bén kép mô phỏng mồi đầu rắn ếch,28.500,-53%,682,100637,20791811110,961619106
148,"Bộ quần áo bóng đá, đồ đá banh, bộ đồ thể thao Bulbal CLB  siêu thấm hút mồ hôi kháng khuẩn không gây mùi cơ thể",149.000,None,"2,8k",100637,8665773906,146375473
